Cape clawless otter
Azara's zorro
"Ass, asiatic wild"
American crow
"Skink, african"
"Fox, blue"
Pied kingfisher
"Pintail, bahama"
"Shrike, southern white-crowned"
"Fox, asian red"
Red-billed tropic bird
"Bat, asian false vampire"
"Bulbul, black-eyed"
"Armadillo, nine-banded"
"Tenrec, tailless"
Currasow (unidentified)
Indian peacock
Red meerkat
Richardson's ground squirrel
Levaillant's barbet
"Tortoise, galapagos"
Alpaca
Gray rhea
"Jackal, silver-backed"
Hummingbird (unidentified)
Australian brush turkey
Indian tree pie
Chilean flamingo
Cape starling
Dabchick
Llama
Goliath heron
Ringtail cat
"Boa, emerald green tree"
"Mockingbird, galapagos"
"Lemur, grey mouse"
Striped skunk
African snake (unidentified)
"White-eye, cape"
Paca
"Hare, arctic"
"Pie, indian tree"
"Macaque, rhesus"
Coqui partridge
"Gazelle, thomson's"
Orca
"Dragon, asian water"
"Rattlesnake, dusky"
"Dove, rock"
"Eagle, golden"
"Eagle, bald"
"Mongoose, yellow"
Brown brocket
Black kite
"Magpie, australian"
"Catfish, blue"
Indian mynah
Radiated tortoise
"Owl, australian masked"
"Snake, racer"
"Camel, dromedary"
"Squirrel, uinta ground"
Ringtail
Black spider monkey
"Buffalo, asian water"
Gray heron
"Sheep, red"
Common long-nosed armadillo
Red-tailed cockatoo
"Squirrel, uinta ground"
Euro wallaby
Common green iguana
Tropical buckeye butterfly
Mexican beaded lizard
"Turaco, violet-crested"
Potoroo
Sociable weaver
Black bear
Blue shark
"Toucan, white-throated"
"Baboon, yellow"
"Sandgrouse, yellow-throated"
"Tern, white-winged"
"Eagle, golden"
"Creeper, black-tailed tree"
Long-tailed jaeger
"Booby, blue-footed"
Defassa waterbuck
"Spoonbill, white"
"Squirrel, grey-footed"
African buffalo
Malay squirrel (unidentified)
"Sparrow, rufous-collared"
Striped dolphin
Pine siskin
Gray duiker
"Spoonbill, white"
"Otter, giant"
Little brown bat
Magnificent frigate bird
"Colobus, white-mantled"
"Porcupine, african"
"Cat, tiger"
"Dog, raccoon"
"Jackrabbit, white-tailed"
Blue-tongued lizard
Blue-breasted cordon bleu
"Booby, blue-faced"
Desert tortoise
Darwin ground finch (unidentified)
"White-eye, pale"
Red-billed toucan
"Cormorant, javanese"
"Civet, small-toothed palm"
Blue shark
"Fox, blue"
"Squirrel, eastern fox"
Mexican beaded lizard
Savanna baboon
Asiatic jackal
"Oryx, fringe-eared"
Nile crocodile
"Squirrel, eastern fox"
"Elephant, african"
African jacana
African polecat
Great egret
"Squirrel, indian giant"
"Sparrow, house"
"Phascogale, brush-tailed"
"Cockatoo, red-breasted"
Yellow-brown sungazer
"Owl, snowy"
Australian brush turkey
European spoonbill
"Phascogale, brush-tailed"
Red-necked wallaby
"Lynx, african"
River wallaby
"Ferret, black-footed"
Suricate
Horned lark
"Bat, little brown"
Blackbuck
"Langur, hanuman"
Red deer
Harbor seal
Small-clawed otter
"Possum, pygmy"
"Screamer, southern"
"Gazelle, thomson's"
Ring-tailed possum
"Cockatoo, slender-billed"
"Gull, dusky"
Lesser masked weaver
"Antechinus, brown"
Black-backed jackal
Downy woodpecker
Coqui partridge
"Fox, crab-eating"
"Crow, pied"
"Penguin, magellanic"
"Penguin, fairy"
Sociable weaver
"Skunk, western spotted"
Secretary bird
"Goose, cape barren"
"Quoll, spotted-tailed"
Stick insect
"Squirrel, eurasian red"
Flightless cormorant
"Heron, goliath"
Snowy sheathbill
"Kangaroo, red"
"Pintail, bahama"
Southern hairy-nosed wombat
Hanuman langur
"Duck, blue"
European shelduck
Black-tailed prairie dog
European stork
"Weaver, white-browed sparrow"
Australian pelican
Common zebra
Galah
Buttermilk snake
Yellow baboon
Two-toed sloth
"Woodpecker, downy"
"Eagle, white-bellied sea"
"Whale, southern right"
"Gecko, bent-toed"
Sockeye salmon
Southern boubou
Bushpig
"Nighthawk, common"
"Capuchin, weeper"
Jungle kangaroo
White-throated kingfisher
"Possum, western pygmy"
Greater roadrunner
"Deer, swamp"
Violet-crested turaco
"Bee-eater, white-fronted"
"Dove, mourning collared"
"Porcupine, african"
"Booby, blue-faced"
"Stork, marabou"
African ground squirrel (unidentified)
"Baboon, olive"
"Bee-eater, nubian"
"Cat, miner's"
"Bleu, blue-breasted cordon"
Yellow-crowned night heron
African wild dog
"Bandicoot, long-nosed"
Spotted wood sandpiper
Fringe-eared oryx
Red-winged blackbird
Canadian river otter
Caribou
Kafue flats lechwe
"Baboon, gelada"
"Lark, horned"
"Dog, bush"
South American sea lion
Bare-faced go away bird
"Rhinoceros, black"
White-bellied sea eagle
Reindeer
Jaguar
"Deer, white-tailed"
"Porcupine, north american"
"Fox, savanna"
"Deer, roe"
"Stilt, black-winged"
"Jackal, asiatic"
"Seal, southern elephant"
"Turtle, long-necked"
Jaguarundi
"Gazer, sun"
"Bunting, crested"
Red-capped cardinal
"Peacock, indian"
"Magpie, australian"
White spoonbill
Agama lizard (unidentified)
Carpet snake
"Bear, black"
Red-breasted nuthatch
"Armadillo, common long-nosed"
Southern screamer
"Deer, savannah"
Mandras tree shrew
"Dolphin, striped"
Southern lapwing
"Lemur, ring-tailed"
Common melba finch
Eurasian beaver
Banded mongoose
"Booby, blue-faced"
Slender-billed cockatoo
Paddy heron (unidentified)
"Deer, roe"
"Anteater, australian spiny"
"Goose, greylag"
"Hartebeest, red"
"Rhinoceros, white"
White-winged black tern
Indian leopard
Puna ibis
"Tinamou, elegant crested"
"Dove, emerald-spotted wood"
"Dog, black-tailed prairie"
"Squirrel, antelope ground"
Racer snake
"Hornbill, yellow-billed"
"Finch, common melba"
Knob-nosed goose
Tiger cat
"Cat, kaffir"
"Deer, white-tailed"
"Monkey, red howler"
River wallaby
"Coatimundi, white-nosed"
"Waterbuck, common"
"Hornbill, yellow-billed"
Southern brown bandicoot
Black swan
Swainson's francolin
Yellow-throated sandgrouse
Eastern box turtle
"Penguin, galapagos"
Genoveva
"Gull, southern black-backed"
American badger
Trumpeter swan
"Vulture, turkey"
Purple moorhen
Serval
"Screamer, southern"
Arctic tern
Musk ox
Yellow-necked spurfowl
"Otter, giant"
Jungle kangaroo
"Cat, tiger"
"Macaque, bonnet"
Gerenuk
"Buffalo, african"
Glossy ibis
"Squirrel, malabar"
"Deer, barasingha"
"Kudu, greater"
Purple moorhen
"Rattlesnake, eastern diamondback"
"Cockatoo, long-billed"
Llama
Mouflon
"Dunnart, fat-tailed"
Small-toothed palm civet
Argalis
"Monitor, water"
Savannah deer
Eastern quoll
Eastern dwarf mongoose
Burchell's gonolek
"Cormorant, great"
North American red fox
Southern black-backed gull
Dabchick
Sacred ibis
Long-necked turtle
"Eagle, white-bellied sea"
Red hartebeest
"Deer, spotted"
Vine snake (unidentified)
"Possum, ring-tailed"
"Stork, black-necked"
Common nighthawk
Long-necked turtle
"Turkey, wild"
"Waxbill, violet-eared"
"Opossum, american virginia"
"Tortoise, burmese black mountain"
"Shrike, southern white-crowned"
Glossy ibis
"Badger, honey"
Eastern box turtle
Yellow baboon
Bonnet macaque
American woodcock
Rose-ringed parakeet
"Squirrel, arctic ground"
"Falcon, prairie"
"Skunk, striped"
Mourning collared dove
Woodchuck
African wild cat
"Dunnart, fat-tailed"
African clawless otter
"Nighthawk, common"
"Boa, mexican"
"Whale, baleen"
"Pelican, australian"
Azara's zorro
Cape cobra
Eastern white pelican
Burrowing owl
Horned lark
"Monkey, red howler"
Green-winged trumpeter
Spectacled caiman
"Lizard, desert spiny"
Dingo
"Puma, south american"
"Marmot, hoary"
"Mynah, common"
African wild dog
Tasmanian devil
Golden eagle
"Lizard, desert spiny"
"Rattlesnake, dusky"
Mississippi alligator
Red-billed buffalo weaver
Chilean flamingo
"Bat, madagascar fruit"
Indian peacock
Red-billed hornbill
"Screamer, southern"
"Tortoise, radiated"
Tasmanian devil
"Weaver, sociable"
Crimson-breasted shrike
"Weaver, chestnut"
"Bear, grizzly"
"Turtle, eastern box"
White-rumped vulture
"Racer, blue"
Red-billed tropic bird
"Lemur, sportive"
"Macaw, red and blue"
"Otter, african clawless"
"Eland, common"
Sacred ibis
Netted rock dragon
Cattle egret
Mocking cliffchat
"Cat, kaffir"
Brown capuchin
Little grebe
"Squirrel, golden-mantled ground"
Indian giant squirrel
Hoary marmot
Blesbok
African buffalo
"Otter, oriental short-clawed"
"Dove, galapagos"
Indian red admiral
Southern hairy-nosed wombat
"Sheathbill, snowy"
Zorilla
Eurasian beaver
Gaur
Spotted deer
Emerald-spotted wood dove
Suricate
"Civet, small-toothed palm"
"Buffalo, american"
"Lemur, sportive"
Crested screamer
"Cat, native"
Chilean flamingo
Black kite
White-fronted bee-eater
"Baboon, gelada"
"Dove, galapagos"
White-winged tern
"Trotter, lily"
"Heron, little"
"Stork, white-necked"
Water monitor
Bateleur eagle
Western pygmy possum
Red kangaroo
Javanese cormorant
"Wallaby, agile"
Black-cheeked waxbill
Suricate
"Goldeneye, barrows"
"Snake, eastern indigo"
Anaconda (unidentified)
Brolga crane
"Tapir, brazilian"
"Stork, painted"
Violet-eared waxbill
